time_casa;time_visitante;total_gols_casa;total_gols_visitante;total_gols_jogo;total_escanteios_casa;total_escanteios_visitante;total_cartoes_amarelos_casa;total_cartoes_vermelhos_casa;total_cartoes_amarelos_visitante;total_cartoes_vermelhos_visitante;chutes_casa;chutes_visitanes;chutes_no_gol_casa;chutes_no_gol_visitante;chutes_fora_do_gol_casa;chutes_fora_do_gol_visitante;faltas_time_casa;faltas_time_visitante;posse_de_bola_casa;posse_de_bola_visitante;liga;qtd_torcedores;mes;dia;ano;key_home;key_away
novaiguaçu;friburguense;1;0;1;6;3;-1;-1;-1;-1;17;6;5;4;12;2;-1;-1;49;51;brazilcarioca;;1;16;2021;novaiguaçu_bra;friburguense_bra
americarj;sampaiocorrearj;1;1;2;3;5;-1;-1;-1;-1;8;8;4;3;4;5;-1;-1;45;55;brazilcarioca;;1;16;2021;americarj_bra;sampaiocorrearj_bra
americano;cabofriense;3;2;5;3;6;-1;-1;-1;-1;13;16;8;11;5;5;-1;-1;50;50;brazilcarioca;;1;16;2021;americano_bra;cabofriense_bra
friburguense;americano;1;1;2;7;3;-1;-1;-1;-1;15;8;3;4;12;4;-1;-1;62;38;brazilcarioca;;1;20;2021;friburguense_bra;americano_bra
sampaiocorrearj;novaiguaçu;1;2;3;7;0;-1;-1;-1;-1;15;13;8;8;7;5;-1;-1;62;38;brazilcarioca;;1;20;2021;sampaiocorrearj_bra;novaiguaçu_bra
cabofriense;americarj;0;0;0;7;9;-1;-1;-1;-1;3;5;0;0;3;5;-1;-1;52;48;brazilcarioca;;1;20;2021;cabofriense_bra;americarj_bra
cabofriense;friburguense;2;1;3;5;9;-1;-1;-1;-1;19;6;6;3;13;3;-1;-1;54;46;brazilcarioca;;1;23;2021;cabofriense_bra;friburguense_bra
americano;sampaiocorrearj;1;2;3;2;4;-1;-1;-1;-1;9;9;5;3;4;6;-1;-1;44;56;brazilcarioca;;1;23;2021;americano_bra;sampaiocorrearj_bra
americarj;novaiguaçu;1;1;2;4;8;-1;-1;-1;-1;7;7;2;3;5;4;-1;-1;50;50;brazilcarioca;;1;23;2021;americarj_bra;novaiguaçu_bra
friburguense;americarj;1;2;3;12;1;-1;-1;-1;-1;4;5;2;3;2;2;-1;-1;57;43;brazilcarioca;;1;27;2021;friburguense_bra;americarj_bra
novaiguaçu;americano;1;0;1;4;3;-1;-1;-1;-1;12;9;7;2;5;7;-1;-1;44;56;brazilcarioca;;1;27;2021;novaiguaçu_bra;americano_bra
sampaiocorrearj;cabofriense;0;1;1;1;1;-1;-1;-1;-1;2;3;2;2;0;1;-1;-1;54;46;brazilcarioca;;1;27;2021;sampaiocorrearj_bra;cabofriense_bra
americano;americarj;3;0;3;3;10;-1;-1;-1;-1;14;17;6;10;8;7;-1;-1;45;55;brazilcarioca;;1;30;2021;americano_bra;americarj_bra
cabofriense;novaiguaçu;1;0;1;5;9;-1;-1;-1;-1;5;10;3;6;2;4;-1;-1;41;59;brazilcarioca;;1;30;2021;cabofriense_bra;novaiguaçu_bra
friburguense;sampaiocorrearj;1;2;3;8;3;-1;-1;-1;-1;6;7;2;4;4;3;-1;-1;49;51;brazilcarioca;;1;30;2021;friburguense_bra;sampaiocorrearj_bra
cabofriense;americano;2;1;3;1;8;-1;-1;-1;-1;5;2;4;2;1;0;-1;-1;46;54;brazilcarioca;;2;3;2021;cabofriense_bra;americano_bra
friburguense;novaiguaçu;0;1;1;6;6;-1;-1;-1;-1;9;13;4;7;5;6;-1;-1;53;47;brazilcarioca;;2;3;2021;friburguense_bra;novaiguaçu_bra
sampaiocorrearj;americarj;0;0;0;3;10;-1;-1;-1;-1;4;5;2;4;2;1;-1;-1;46;54;brazilcarioca;;2;3;2021;sampaiocorrearj_bra;americarj_bra
americano;friburguense;2;1;3;4;3;-1;-1;-1;-1;9;15;6;6;3;9;-1;-1;49;51;brazilcarioca;;2;6;2021;americano_bra;friburguense_bra
novaiguaçu;sampaiocorrearj;1;0;1;3;3;-1;-1;-1;-1;5;6;2;0;3;6;-1;-1;40;60;brazilcarioca;;2;6;2021;novaiguaçu_bra;sampaiocorrearj_bra
americarj;cabofriense;1;1;2;4;7;-1;-1;-1;-1;8;7;2;2;6;5;-1;-1;47;53;brazilcarioca;;2;6;2021;americarj_bra;cabofriense_bra
friburguense;cabofriense;2;5;7;3;6;-1;-1;-1;-1;10;14;6;8;4;6;-1;-1;46;54;brazilcarioca;;2;10;2021;friburguense_bra;cabofriense_bra
sampaiocorrearj;americano;2;0;2;0;4;-1;-1;-1;-1;4;0;3;0;1;0;-1;-1;50;50;brazilcarioca;;2;10;2021;sampaiocorrearj_bra;americano_bra
novaiguaçu;americarj;1;0;1;6;0;-1;-1;-1;-1;7;4;2;0;5;4;-1;-1;55;45;brazilcarioca;;2;10;2021;novaiguaçu_bra;americarj_bra
cabofriense;sampaiocorrearj;2;1;3;6;0;-1;-1;-1;-1;17;11;6;4;11;7;-1;-1;46;54;brazilcarioca;;2;17;2021;cabofriense_bra;sampaiocorrearj_bra
americano;novaiguaçu;1;3;4;1;6;-1;-1;-1;-1;5;9;4;5;1;4;-1;-1;53;47;brazilcarioca;;2;17;2021;americano_bra;novaiguaçu_bra
americarj;friburguense;4;4;8;3;8;-1;-1;-1;-1;13;9;5;5;8;4;-1;-1;48;52;brazilcarioca;;2;17;2021;americarj_bra;friburguense_bra
americarj;americano;3;1;4;6;1;-1;-1;-1;-1;19;14;11;7;8;7;-1;-1;51;49;brazilcarioca;;2;20;2021;americarj_bra;americano_bra
sampaiocorrearj;friburguense;1;0;1;1;6;-1;-1;-1;-1;3;0;2;0;1;0;-1;-1;39;61;brazilcarioca;;2;20;2021;sampaiocorrearj_bra;friburguense_bra
novaiguaçu;cabofriense;1;1;2;17;1;-1;-1;-1;-1;5;5;2;2;3;3;-1;-1;62;38;brazilcarioca;;2;20;2021;novaiguaçu_bra;cabofriense_bra
flamengo;novaiguaçu;1;0;1;9;0;-1;-1;-1;-1;15;7;7;3;8;4;-1;-1;61;39;southamerica;;3;3;2021;flamengo_bra;novaiguaçu_bra
macae;bangu;0;1;1;4;6;0;0;1;0;6;7;3;3;3;4;-1;-1;46;54;brazilserie;;3;3;2021;macae_bra;bangu_bra
voltaredonda;madureira;2;2;4;7;4;0;0;1;0;22;14;9;4;13;10;-1;-1;52;48;brazilserie;;3;3;2021;voltaredonda_bra;madureira_bra
botafogo;boavista;0;0;0;7;4;0;0;2;0;19;8;5;3;14;5;-1;-1;60;40;brazilcarioca;;3;3;2021;botafogo_bra;boavista_bra
vascodagama;portuguesarj;0;1;1;6;3;1;0;1;0;8;7;0;2;8;5;-1;-1;63;37;brazilcarioca;;3;4;2021;vascodagama_bra;portuguesarj_bra
resende;fluminense;2;1;3;2;6;1;0;1;0;10;11;7;6;3;5;-1;-1;43;57;brazilcarioca;;3;5;2021;resende_bra;fluminense_bra
macae;flamengo;0;2;2;5;8;1;0;1;0;4;10;0;3;4;7;-1;-1;37;63;brazilserie;;3;6;2021;macae_bra;flamengo_bra
voltaredonda;vascodagama;1;0;1;4;10;2;0;2;0;11;16;5;5;6;11;-1;-1;40;60;brazilserie;;3;7;2021;voltaredonda_bra;vascodagama_bra
novaiguaçu;madureira;0;0;0;9;3;0;0;3;0;9;5;0;0;9;5;-1;-1;60;40;brazilcarioca;;3;7;2021;novaiguaçu_bra;madureira_bra
fluminense;portuguesarj;0;3;3;2;1;1;0;1;0;10;10;2;6;8;4;-1;-1;60;40;brazilcopa;;3;7;2021;fluminense_bra;portuguesarj_bra
boavista;bangu;2;0;2;2;7;-1;-1;-1;-1;4;19;3;4;1;15;-1;-1;33;67;brazilcarioca;;3;7;2021;boavista_bra;bangu_bra
botafogo;resende;3;0;3;5;11;2;0;1;0;15;14;8;7;7;7;15;17;43;57;brazilcarioca;;3;7;2021;botafogo_bra;resende_bra
madureira;resende;0;0;0;7;2;-1;-1;-1;-1;27;2;5;2;22;0;-1;-1;64;36;brazilcopa;;3;13;2021;madureira_bra;resende_bra
novaiguaçu;vascodagama;2;2;4;1;5;-1;-1;-1;-1;12;17;4;7;8;10;-1;-1;41;59;brazilcarioca;;3;13;2021;novaiguaçu_bra;vascodagama_bra
bangu;botafogo;0;0;0;4;5;0;0;0;0;6;11;2;3;4;8;19;17;37;63;brazilcopa;;3;14;2021;bangu_bra;botafogo_bra
portuguesarj;voltaredonda;0;1;1;7;4;0;0;0;0;28;9;13;4;15;5;7;9;63;37;brazilcarioca;;3;14;2021;portuguesarj_bra;voltaredonda_bra
flamengo;fluminense;0;1;1;9;4;0;0;0;0;18;8;6;4;12;4;20;16;64;36;southamerica;;3;14;2021;flamengo_bra;fluminense_bra
boavista;macae;1;1;2;0;11;0;0;0;0;13;14;4;4;9;10;14;20;50;50;brazilcarioca;;3;15;2021;boavista_bra;macae_bra
flamengo;resende;4;1;5;9;7;0;0;0;0;28;12;17;3;11;9;18;9;60;40;southamerica;;3;20;2021;flamengo_bra;resende_bra
voltaredonda;macae;1;0;1;5;4;0;0;0;0;14;9;4;4;10;5;16;12;51;49;brazilserie;;3;20;2021;voltaredonda_bra;macae_bra
boavista;novaiguaçu;1;2;3;5;3;0;0;0;0;9;16;4;7;5;9;20;20;47;53;brazilcarioca;;3;20;2021;boavista_bra;novaiguaçu_bra
bangu;fluminense;0;1;1;7;5;0;0;0;0;6;12;3;7;3;5;23;22;47;53;brazilcopa;;3;21;2021;bangu_bra;fluminense_bra
madureira;portuguesarj;1;0;1;4;8;0;0;0;0;9;22;3;7;6;15;13;16;49;51;brazilcopa;;3;21;2021;madureira_bra;portuguesarj_bra
vascodagama;botafogo;1;1;2;8;2;0;0;0;0;14;16;5;4;9;12;17;19;57;43;brazilcarioca;;3;21;2021;vascodagama_bra;botafogo_bra
resende;voltaredonda;1;0;1;1;8;0;0;0;0;7;19;3;2;4;17;19;19;39;61;brazilcarioca;;3;23;2021;resende_bra;voltaredonda_bra
boavista;fluminense;0;2;2;5;5;0;0;0;0;7;16;4;8;3;8;24;27;50;50;brazilcarioca;;3;23;2021;boavista_bra;fluminense_bra
madureira;bangu;1;0;1;9;0;0;0;0;0;14;8;6;2;8;6;19;17;58;42;brazilcopa;;3;24;2021;madureira_bra;bangu_bra
vascodagama;macae;3;1;4;16;1;-1;-1;-1;-1;12;4;4;2;8;2;-1;-1;67;33;brazilcarioca;;3;24;2021;vascodagama_bra;macae_bra
botafogo;flamengo;0;2;2;4;11;0;0;0;0;8;26;2;10;6;16;20;22;38;62;brazilcarioca;;3;25;2021;botafogo_bra;flamengo_bra
novaiguaçu;portuguesarj;0;0;0;7;1;0;0;0;0;21;9;7;2;14;7;17;23;60;40;brazilcarioca;;3;25;2021;novaiguaçu_bra;portuguesarj_bra
fluminense;voltaredonda;2;3;5;5;5;0;0;0;0;21;19;8;11;13;8;10;20;58;42;brazilcopa;;3;26;2021;fluminense_bra;voltaredonda_bra
bangu;resende;0;0;0;9;1;-1;-1;-1;-1;16;9;5;3;11;6;-1;-1;59;41;brazilcopa;;3;27;2021;bangu_bra;resende_bra
vascodagama;madureira;2;2;4;6;1;0;0;0;0;18;14;6;6;12;8;10;14;58;42;brazilcarioca;;3;27;2021;vascodagama_bra;madureira_bra
boavista;flamengo;1;1;2;1;7;0;0;0;0;7;23;2;7;5;16;15;20;30;70;brazilcarioca;;3;28;2021;boavista_bra;flamengo_bra
portuguesarj;macae;3;0;3;6;7;0;0;0;0;17;15;7;4;10;11;14;15;57;43;brazilcarioca;;3;28;2021;portuguesarj_bra;macae_bra
novaiguaçu;botafogo;1;2;3;5;6;0;0;0;0;14;14;4;7;10;7;26;18;43;57;brazilcarioca;;3;28;2021;novaiguaçu_bra;botafogo_bra
fluminense;vascodagama;1;1;2;8;2;0;0;0;0;9;14;2;5;7;9;16;16;49;51;brazilcopa;;3;31;2021;fluminense_bra;vascodagama_bra
macae;novaiguaçu;1;3;4;4;8;0;0;0;0;11;10;5;6;6;4;14;16;45;55;brazilserie;;3;31;2021;macae_bra;novaiguaçu_bra
botafogo;madureira;1;1;2;8;2;0;0;0;0;11;5;6;4;5;1;10;21;61;39;brazilcarioca;;3;31;2021;botafogo_bra;madureira_bra
flamengo;bangu;3;0;3;11;0;0;0;0;0;19;7;6;2;13;5;15;23;69;31;southamerica;;4;1;2021;flamengo_bra;bangu_bra
resende;portuguesarj;0;1;1;3;8;0;0;0;0;10;17;2;10;8;7;10;20;46;54;brazilcarioca;;4;1;2021;resende_bra;portuguesarj_bra
voltaredonda;boavista;3;1;4;3;4;0;0;0;0;17;15;7;5;10;10;30;17;48;52;brazilserie;;4;1;2021;voltaredonda_bra;boavista_bra
vascodagama;bangu;4;2;6;6;4;-1;-1;-1;-1;14;9;7;4;7;5;-1;-1;58;42;brazilcarioca;;4;4;2021;vascodagama_bra;bangu_bra
resende;boavista;1;4;5;9;5;0;0;0;0;18;12;3;7;15;5;18;18;59;41;brazilcarioca;;4;4;2021;resende_bra;boavista_bra
botafogo;portuguesarj;1;1;2;3;8;0;0;0;0;15;19;5;7;10;12;28;19;44;56;brazilcarioca;;4;4;2021;botafogo_bra;portuguesarj_bra
voltaredonda;novaiguaçu;3;2;5;7;2;0;0;0;0;16;13;10;5;6;8;29;11;45;55;brazilserie;;4;4;2021;voltaredonda_bra;novaiguaçu_bra
madureira;flamengo;1;5;6;4;9;-1;-1;-1;-1;10;30;4;15;6;15;-1;-1;30;70;brazilcopa;;4;6;2021;madureira_bra;flamengo_bra
macae;fluminense;0;4;4;2;6;-1;-1;-1;-1;8;14;0;7;8;7;-1;-1;38;62;brazilserie;;4;7;2021;macae_bra;fluminense_bra
portuguesarj;bangu;5;1;6;3;6;-1;-1;-1;-1;17;9;8;5;9;4;-1;-1;55;45;brazilcarioca;;4;10;2021;portuguesarj_bra;bangu_bra
macae;resende;1;3;4;6;4;2;0;2;0;19;11;6;5;13;6;-1;-1;59;41;brazilserie;;4;10;2021;macae_bra;resende_bra
voltaredonda;botafogo;2;2;4;3;6;0;0;0;0;13;19;3;6;10;13;26;22;49;51;brazilserie;;4;11;2021;voltaredonda_bra;botafogo_bra
madureira;boavista;0;0;0;6;3;0;0;0;0;18;10;7;4;11;6;21;9;63;37;brazilcopa;;4;11;2021;madureira_bra;boavista_bra
fluminense;novaiguaçu;3;1;4;8;3;-1;-1;-1;-1;8;9;6;5;2;4;-1;-1;56;44;brazilcopa;;4;11;2021;fluminense_bra;novaiguaçu_bra
flamengo;vascodagama;1;3;4;8;4;0;0;0;0;23;10;8;6;15;4;18;15;69;31;southamerica;;4;15;2021;flamengo_bra;vascodagama_bra
madureira;macae;4;2;6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;brazilcopa;;4;17;2021;madureira_bra;macae_bra
fluminense;botafogo;1;0;1;6;2;-1;-1;-1;-1;10;7;4;2;6;5;-1;-1;56;44;brazilcopa;;4;17;2021;fluminense_bra;botafogo_bra
portuguesarj;flamengo;2;2;4;1;2;-1;-1;-1;-1;10;19;7;9;3;10;-1;-1;40;60;brazilcarioca;;4;18;2021;portuguesarj_bra;flamengo_bra
bangu;voltaredonda;1;1;2;5;5;-1;-1;-1;-1;13;11;6;7;7;4;-1;-1;48;52;brazilcopa;;4;18;2021;bangu_bra;voltaredonda_bra
novaiguaçu;resende;4;2;6;5;2;-1;-1;-1;-1;13;11;8;5;5;6;-1;-1;52;48;brazilcarioca;;4;18;2021;novaiguaçu_bra;resende_bra
boavista;vascodagama;2;2;4;4;7;0;0;0;0;14;25;6;8;8;17;14;20;31;69;brazilcarioca;;4;18;2021;boavista_bra;vascodagama_bra
boavista;botafogo;1;1;2;4;2;-1;-1;-1;-1;7;12;3;5;4;7;-1;-1;45;55;brazilcarioca;;1;26;2022;boavista_bra;botafogo_bra
audaxrio;novaiguaçu;0;0;0;3;2;-1;-1;-1;-1;11;10;6;3;5;7;-1;-1;42;58;brazilcarioca;;1;26;2022;audaxrio_bra;novaiguaçu_bra
voltaredonda;vascodagama;2;4;6;8;7;-1;-1;-1;-1;10;11;6;7;4;4;-1;-1;54;46;brazilserie;;1;26;2022;voltaredonda_bra;vascodagama_bra
flamengo;portuguesarj;2;1;3;2;3;0;0;0;0;15;10;6;6;9;4;8;9;56;44;southamerica;;1;27;2022;flamengo_bra;portuguesarj_bra
madureira;resende;1;0;1;6;6;-1;-1;-1;-1;13;13;6;4;7;9;-1;-1;44;56;brazilcopa;;1;27;2022;madureira_bra;resende_bra
fluminense;bangu;0;1;1;9;4;-1;-1;-1;-1;15;9;3;4;12;5;-1;-1;64;36;brazilcopa;;1;27;2022;fluminense_bra;bangu_bra
portuguesarj;audaxrio;1;0;1;1;7;-1;-1;-1;-1;11;10;6;4;5;6;-1;-1;50;50;brazilcarioca;;1;29;2022;portuguesarj_bra;audaxrio_bra
